state_abbr,state_name,ethanol_mgal,gasoline_mgal,blend_rate_pct,us_avg_pct,above_us_avg,year
MN,Minnesota,311.766,2439.2340000000004,12.781307574427053,10.335126076026512,TRUE,2024
IA,Iowa,179.08800000000002,1542.114,11.613149222431028,10.335126076026512,TRUE,2024
HI,Hawaii,44.478,417.48,10.653923541247485,10.335126076026512,TRUE,2024
SD,South Dakota,51.492000000000004,483.336,10.653458463677442,10.335126076026512,TRUE,2024
RI,Rhode Island,39.186,367.836,10.653117150034253,10.335126076026512,TRUE,2024
LA,Louisiana,231.37800000000001,2172.114,10.652203337393894,10.335126076026512,TRUE,2024
AL,Alabama,348.894,3275.3700000000003,10.65204847085978,10.335126076026512,TRUE,2024
AZ,Arizona,317.814,2983.596,10.65204538416059,10.335126076026512,TRUE,2024
WA,Washington,275.94,2590.6020000000003,10.651578281804769,10.335126076026512,TRUE,2024
CA,California,1399.5240000000001,13139.28,10.651451221071474,10.335126076026512,TRUE,2024
