state_abbr,state_name,ethanol_mgal,gasoline_mgal,blend_rate_pct,us_avg_pct,above_us_avg,year
MN,Minnesota,311.766,2439.2340000000004,12.781307574427053,10.335126076026512,TRUE,2024
IA,Iowa,179.08800000000002,1542.114,11.613149222431028,10.335126076026512,TRUE,2024
HI,Hawaii,44.478,417.48,10.653923541247485,10.335126076026512,TRUE,2024
SD,South Dakota,51.492000000000004,483.336,10.653458463677442,10.335126076026512,TRUE,2024
RI,Rhode Island,39.186,367.836,10.653117150034253,10.335126076026512,TRUE,2024
LA,Louisiana,231.37800000000001,2172.114,10.652203337393894,10.335126076026512,TRUE,2024
AL,Alabama,348.894,3275.3700000000003,10.65204847085978,10.335126076026512,TRUE,2024
AZ,Arizona,317.814,2983.596,10.65204538416059,10.335126076026512,TRUE,2024
WA,Washington,275.94,2590.6020000000003,10.651578281804769,10.335126076026512,TRUE,2024
CA,California,1399.5240000000001,13139.28,10.651451221071474,10.335126076026512,TRUE,2024
TX,Texas,1570.968,14748.972000000002,10.651372855003046,10.335126076026512,TRUE,2024
AR,Arkansas,162.834,1528.842,10.650806296530314,10.335126076026512,TRUE,2024
MA,Massachusetts,268.67400000000004,2522.6040000000003,10.650660983650228,10.335126076026512,TRUE,2024
MS,Mississippi,177.24,1664.1660000000002,10.650379829896776,10.335126076026512,TRUE,2024
NV,Nevada,125.748,1180.7040000000002,10.650256118383608,10.335126076026512,TRUE,2024
OR,Oregon,154.392,1449.672,10.650133271526247,10.335126076026512,TRUE,2024
CT,Connecticut,159.60000000000002,1498.602,10.649925730781089,10.335126076026512,TRUE,2024
DE,Delaware,52.542,493.374,10.649527538946113,10.335126076026512,TRUE,2024
WI,Wisconsin,265.986,2497.656,10.649424900786977,10.335126076026512,TRUE,2024
ND,North Dakota,45.276,425.16600000000005,10.649017089795516,10.335126076026512,TRUE,2024
DC,District of Columbia,10.626000000000001,99.792,10.648148148148149,10.335126076026512,TRUE,2024
NJ,New Jersey,378.084,3558.114,10.625966453014152,10.335126076026512,TRUE,2024
MD,Maryland,250.99200000000002,2366.4900000000002,10.606087496672286,10.335126076026512,TRUE,2024
NH,New Hampshire,74.17200000000001,706.1460000000001,10.503776839350504,10.335126076026512,TRUE,2024
IL,Illinois,436.338,4186.938,10.421410586925338,10.335126076026512,TRUE,2024
VA,Virginia,419.83200000000005,4037.46,10.398418807864351,10.335126076026512,TRUE,2024
NY,New York,543.48,5248.698,10.354567932847345,10.335126076026512,TRUE,2024
PA,Pennsylvania,449.274,4428.228,10.145683555589278,10.335126076026512,FALSE,2024
KY,Kentucky,222.39000000000001,2195.2980000000002,10.130287550938414,10.335126076026512,FALSE,2024
NM,New Mexico,95.76,945.7560000000001,10.12523314681588,10.335126076026512,FALSE,2024
IN,Indiana,302.274,2987.9640000000004,10.116386944421016,10.335126076026512,FALSE,2024
MI,Michigan,439.86600000000004,4386.984,10.02661509592923,10.335126076026512,FALSE,2024
ME,Maine,65.94,658.308,10.016587980094425,10.335126076026512,FALSE,2024
WV,West Virginia,74.13000000000001,741.09,10.00283366392746,10.335126076026512,FALSE,2024
FL,Florida,946.596,9464.07,10.001997026649212,10.335126076026512,FALSE,2024
GA,Georgia,491.778,4916.9400000000005,10.001708379601947,10.335126076026512,FALSE,2024
NC,North Carolina,517.272,5171.88,10.001624167614098,10.335126076026512,FALSE,2024
SC,South Carolina,281.19,2811.48,10.00149387511204,10.335126076026512,FALSE,2024
VT,Vermont,28.392000000000003,283.96200000000005,9.998520928856678,10.335126076026512,FALSE,2024
TN,Tennessee,345.91200000000003,3460.7160000000003,9.995388237578581,10.335126076026512,FALSE,2024
OH,Ohio,475.35600000000005,4755.87,9.995142844526871,10.335126076026512,FALSE,2024
MO,Missouri,319.20000000000005,3224.9700000000003,9.89776649085108,10.335126076026512,FALSE,2024
KS,Kansas,132.51000000000002,1368.9060000000002,9.679992636455681,10.335126076026512,FALSE,2024
OK,Oklahoma,187.32000000000002,1935.192,9.679659692681659,10.335126076026512,FALSE,2024
NE,Nebraska,88.36800000000001,912.9960000000001,9.678903302971754,10.335126076026512,FALSE,2024
CO,Colorado,222.936,2317.476,9.619775997680234,10.335126076026512,FALSE,2024
MT,Montana,49.098000000000006,558.0120000000001,8.79873551106428,10.335126076026512,FALSE,2024
UT,Utah,115.668,1314.9360000000001,8.79647374472978,10.335126076026512,FALSE,2024
ID,Idaho,66.444,755.412,8.795730012231735,10.335126076026512,FALSE,2024
WY,Wyoming,31.080000000000002,353.514,8.791731020553643,10.335126076026512,FALSE,2024
AK,Alaska,0,259.14000000000004,0,10.335126076026512,FALSE,2024
