year,e85_stations
2008,1420
2009,1899
2010,2099
2011,2300
2012,2476
2013,2597
2014,2767
2015,2760
2016,2977
2017,3338
2018,3414
2019,3764
2020,4302
2021,4772
2022,4867
2023,5212
2024,5473
2025,5652
2026,5681
