Year,MMgal,MMgal Forecast,Value (USD),Value (USD) Forecast
2019,1447.553844768496,NA,2334006959,NA
2020,1316.616292648524,NA,2307913297,NA
2021,1237.052983425468,NA,2801075118,NA
2022,1304.352785413876,NA,3592836748,NA
2023,1407.158401836944,NA,3803285422,NA
2024,1938.5113713737962,NA,4323951092,NA
2025,2183.4511327891923,NA,4801611437,NA
2026 Jan-Mar,640.22255383456,2622.360538922917,1405812964,5939732469.164902
