Year,Canada,European Union-27,India,Other Americas,Other Asia,Other Europe,Rest of World
2021,376037110.91399604,83003769.64372,143544782.78984,217027561.61054397,284248925.120368,54674858.58594001,73788604.40497603
2022,501588512.96036804,125744919.924112,75779082.571308,195397185.46025994,246360038.58501604,74973753.700964,83066693.03657201
2023,623595345.7217361,128009411.28996001,83784298.04670401,202267742.834028,139896206.610888,168137673.56660402,57840544.99172801
2024,697627417.1178681,193572327.55178002,189627204.56588402,317087600.66101605,210537637.51966405,259465560.51982003,68937692.163888
2025,792263631.4691321,398563677.36568004,197809076.612776,345351892.6058761,205432212.46358398,190982724.988972,51060727.52989603
